station_curr_next,client_line,km
Pasaia_Galtzaraborda,Donostia-Hendaia,1.1
Etxebarri_Ariz,Bilbao-Donostia,1.1
Ariz_Etxebarri,Bilbao-Donostia,1.1
Sondika_Larrondo,L3 Txori,1.1
Derio_Lekunbiz,L3 Txori,1.1
Lekunbiz_Derio,L3 Txori,1.1
Larrondo_Sondika,L3 Txori,1.1
Zurbaranbarri_Txurdinaga,Bilbao-Donostia,1
Casco Viejo_Zurbaranbarri,Bilbao-Donostia,1
Txurdinaga_Zurbaranbarri,Bilbao-Donostia,1
Zurbaranbarri_Casco Viejo,Bilbao-Donostia,1
Altza_Herrera,Ramal Altza,0.9
Fanderia_Errenteria,Donostia-Hendaia,0.9
Errenteria_Fanderia,Donostia-Hendaia,0.9
Herrera_Altza,Ramal Altza,0.9
Uribarri_Casco Viejo,L3 Txori,0.9
Casco Viejo_Uribarri,L3 Txori,0.9
La Cruz_Lezama,L3 Txori,0.9
Lezama_La Cruz,L3 Txori,0.9
Irun_Belaskoenea,Donostia-Hendaia,0.8
Belaskoenea_Irun,Donostia-Hendaia,0.8
Azitain_Eibar,Bilbao-Donostia,0.8
Eibar_Azitain,Bilbao-Donostia,0.8
Zarautz_San Pelaio,Bilbao-Donostia,0.8
Toletxegain_Elgoibar,Bilbao-Donostia,0.8
Elgoibar_Toletxegain,Bilbao-Donostia,0.8
San Lorentzo_Unibertsitatea,Bilbao-Donostia,0.8
Unibertsitatea_San Lorentzo,Bilbao-Donostia,0.8
San Pelaio_Zarautz,Bilbao-Donostia,0.8
Elotxelerri_Larrondo,L3 Txori,0.8
Larrondo_Elotxelerri,L3 Txori,0.8
Oiartzun_Fanderia,Donostia-Hendaia,0.7
Fanderia_Oiartzun,Donostia-Hendaia,0.7
Otxarkoaga_Txurdinaga,Bilbao-Donostia,0.7
Txurdinaga_Otxarkoaga,Bilbao-Donostia,0.7
Kukullaga_Etxebarri,Bilbao-Donostia,0.7
Ardantza_Eibar,Bilbao-Donostia,0.7
Eibar_Ardantza,Bilbao-Donostia,0.7
Unibertsitatea_Amaña,Bilbao-Donostia,0.7
Etxebarri_Kukullaga,Bilbao-Donostia,0.7
Amaña_Unibertsitatea,Bilbao-Donostia,0.7
Errenteria_Galtzaraborda,Donostia-Hendaia,0.6
Galtzaraborda_Errenteria,Donostia-Hendaia,0.6
Hendaia_Irun-Ficoba,Donostia-Hendaia,0.6
Irun-Ficoba_Hendaia,Donostia-Hendaia,0.6
Gernika_Institutoa,Ramal Amorebieta-Bermeo,0.6
Institutoa_Gernika,Ramal Amorebieta-Bermeo,0.6
Amaña_Ardantza,Bilbao-Donostia,0.5
San Lorentzo_Errotabarri,Bilbao-Donostia,0.5
Uribarri_Matiko,L3 Txori,0.5
Errotabarri_San Lorentzo,Bilbao-Donostia,0.5
Matiko_Uribarri,L3 Txori,0.5
Gernika_Lurgorri,Ramal Amorebieta-Bermeo,0.5
Lurgorri_Gernika,Ramal Amorebieta-Bermeo,0.5
Ardantza_Amaña,Bilbao-Donostia,0.5
Errotabarri_Ermua,Bilbao-Donostia,0.4
Ermua_Errotabarri,Bilbao-Donostia,0.4
